English,EN Definition,Spanish,ES Definition,https://www.saccourt.ca.gov/general/legal-glossaries/docs/spanish-legal-glossary.pdf
JUDGE,An elected or appointed public official with authority to hear and decide cases in a court of law.,JUEZ,Un funcionario público elegido o designado con la autoridad para conocer y decidir los casos en un tribunal legal.,
JUDGMENT (JUDGEMENT),"The judge's final decision in a case. It says how much the person who lost has to pay the person who won, and when. Sometimes, you can change part of the judgment with a hearing.",FALLO,"La decisión final del juez en un caso. Declara cuánto tiene que pagar la persona que perdió a la persona que ganó, y cuándo. A veces se puede cambiar una parte del fallo con una audiencia.",
JUDGMENT CREDITOR,The person who wins the case.,ACREEDOR DEL FALLO,La persona que gana el caso.,
JUDGMENT DEBTOR,The person who loses the case.,DEUDOR DEL FALLO,La persona que pierde el caso.,
JUDICIAL COUNCIL,"The constitutionally mandated body responsible for improving the administration of justice in the state. The council is made up of judges, court executives, attorneys, and legislators.  It was established to standardize court administration, practice, and procedure by adopting and enforcing court rules.",CONSEJO JUDICIAL,"La agencia constitucionalmente responsable de mejorar la administración de la justicia en el estado. El consejo está compuesto de jueces, de ejecutivos de tribunal, de abogados, y de legisladores. Se estableció para estandarizar la administración judicial, la práctica, y el procedimiento adoptando e imponiendo las reglas de los tribunales en el estado.",
JUDICIAL NOTICE,A court's recognition of the truth of basic facts without formal evidence.,AVISO JUDICIAL,El reconocimiento por el tribunal de la verdad de los hechos básicos sin evidencia formal.,
JUDICIAL OFFICER,"Judges, referees, and commissioners who make court decisions as a judge.",OFICIAL JUDICIAL,"Los jueces, árbitros, y comisionados que toman las decisiones del los tribunales como un juez.",
JUDICIAL REVIEW,"The authority of a court to review the official actions of other branches of government. Also, the authority to declare unconstitutional the actions of other branches.",REVISIÓN JUDICIAL,La autoridad de un tribunal para revisar las acciones oficiales de otras agencias o partes del gobierno. Incluye también la autoridad para declarar inconstitucionales los actos de otras agencias o partes del gobierno.,
JURAT ,"Certificate of officer or person before whom writing was sworn to. The clause written at the foot of an affidavit, stating where, when, and before whom the affidavit was sworn.",CERTIFICADO DEL NOTARIO,"Certificado de un oficial o persona ante quien una escritura fue juramentada.  La cláusula escrita en la parte inferior de una declaración, indicando dónde, cuándo y ante quién la declaración fue juramentada.",
JURISDICTION,"(1) The legal authority of a court to hear and decide a case. (2) The geographic area over which the court has authority to decide cases. (3) the territory, subject matter, or persons over which lawful authority may be exercised by a court.",JURISDICCIÓN,"(1) La autoridad legal de un tribunal para conocer y decidir un caso. (2) El área geográfica sobre la cual el tribunal tiene autoridad para decidir los casos. (3) territorio, tema, o personas sobre los cuales la autoridad legal puede ser ejercitada por un tribunal.",
JURISDICTIONAL HEARINGS,A hearing at which the court determines whether the child falls within the jurisdiction of the juvenile court.,AUDIENCIAS JURISDICCIONALES,Una audiencia en la que el tribunal determina si un niño cabe bajo la jurisdicción del tribunal juvenil.,
JURISPRUDENCE,The study of law and the structure of the legal system.,JURISPRUDENCIA,El estudio de la ley y la estructura del sistema legal.,
JUROR,Member of the jury.,JURADO,Miembro del jurado.,
"JUROR, ALTERNATE",Additional juror impaneled in case of sickness or disability of another juror.,JURADO ALTERNO,Jurado adicional nombrado en caso de enfermedad o incapacidad de otro jurado.,
JURY,A group of citizens picked according to law and authorized to decide a case.,JURADO,Un grupo de ciudadanos escogidos según la ley y autorizados a decidir un caso.,
JURY BOX,The specific place in the courtroom where the jury sits during the trial.,TRIBUNA DEL JURADO,El lugar específico en la sala donde el jurado se sienta durante el juicio.,
JURY COMMISSIONER,The local official responsible for giving the court lists of qualified potential jurors.,COMISARIO DEL JURADO,El oficial local responsable de dar las listas al tribunal de personas calificadas como jurados potenciales.,
JURY FOREMAN,The juror who is in charge of the jury during deliberations and speaks for the jury in court when announcing the verdict.,PRESIDENTE DEL JURADO,El miembro del jurado que está encargado del jurado durante las deliberaciones y habla en representación del jurado al anunciar el fallo.,
HUNG JURY,A jury which is unable to agree on a verdict after a suitable period of deliberation.,JURADO CON VEREDICTO SUSPENDIDO,Un jurado que es incapaz de ponerse de acuerdo en el veridicto después de un periodo conveniente de deliberación.,
JURY INSTRUCTIONS,Directions that the judge gives the jury right before they decide a case. They tell the jury what laws apply to that particular case.,INSTRUCCIONES AL JURADO,Direcciones que el juez da al jurado antes de que ellos decidan el caso. Las insrucciones indican al jurado cuáles leyes se aplican al caso particular.,
JURY TRIAL,A trial that is heard and decided by a jury.,JUICIO POR JURADO,Un juicio que es escuchado y decidido por un jurado.,
JUSTIFICATION,"A lawful or sufficient reason for one’s acts or omissions.  A defense of justification is a showing of a sufficient reason for an action by defendant.  For example, in an assault prosecution against a defendant, a justification would be that the violence was necessary.",JUSTIFICACIÓN,"Una razón lícita o suficiente para las acciones o las omisiones de una persona. Una defensa de justificación muestra suficientes rezones para una acción de parte del acusado. Por ejemplo, en una acusación de agresión contra el demandado, una justificación sería que la violencia era necesaria.",
JUSTIFIABLE,Issues and claims capable of being properly examined in court.,JUSTIFICABLE,Asuntos y reclamos capaces de ser examinados apropiadamente en el tribunal.,
JUSTIFIABLE HOMICIDE,"The intentional killing of another human being without any evil design, and under such circumstances of necessity or duty as render the act proper, and relieve the party from any shadow of blame.",HOMICIDIO JUSTIFICADO,"La muerte intencional de otro ser humano sin malicia, y bajo tales circunstancias de necesidad o deber que presentan el homicidio como acto apropiado, y liberan al la parte de cualquier sombra de culpabilidad.",
JUVENILE,A person under 18 years old. (See also MINOR.),JUVENIL,Una persona menor de 18 años de edad.,
JUVENILE COURT,Part of the Superior Court that handles delinquency and dependency cases involving minors.,TRIBUNAL DE MENORES,Parte del Tribunal Superior que maneja los casos de delincuencia y dependencia que implican a menores.,
JUVENILE HALL,The facility where juvenile offenders are held in custody.,CENTRO DE DETENCIÓN JUVENIL,La instalación donde acusados juveniles se mantienen en custodia.,
JUVENILE WAIVER,A procedure by which a charge(s) against a minor is transferred from a juvenile to circuit court.,TRANSFERENCIA DE UN MENOR,Un procedimiento donde un cargo (cargos) contra un menor se transfiere de un tribunal juvenil a un tribunal del circuito.,
KIDNAPPING,The taking or detaining of a person against his or her will and without lawful authority.,RAPTO,El tomar o retener a una persona contra su voluntad y sin autoridad legal.,
KEEPER,An officer that the court appoints to be responsible for money or property legally seized in connection with a pending case.,GUARDIÁN,Un oficial que el tribunal designa como responsable por el dinero o la propiedad legalmente decomisada con respecto a un caso pendiente.,
KNOWINGLY,"With knowledge, willfully or intentionally with respect to a material element of an offense.",A SABIENDAS,"Con conocimiento, voluntariamente o intencionalmente con respecto a un elemento material de una ofensa.",
LACKING CAPACITY ,"Lacking qualification, competency, power or fitness.  Being incapable of giving legal consent.  Lack of fundamental ability to be accountable for actions.",CAPACIDAD CARENTE,"Careciendo la calificación, la competencia, el poder o la capacidad. Ser incapaz de dar consentimiento legal. La falta de habilidad fundamental para ser responsable de sus acciones.",
LARCENY,Stealing or theft.,HURTO,Robar o robo.,
LAW,"Combination of rules and principles of conduct made known by legislative authority, derived from court decisions, and established by local custom.",LEY,"Combinación de reglas y principios de conducta desarollada por la autoridad legislativa, derivada de las decisiones de tribunales, y establecida por la costumbre local.",
LAW AND MOTION,"A setting before a judge at which time a variety of motions, pleas, sentencing, orders to show cause or procedural requests may be presented. Normally, evidence is not taken. Defendants must be present.",LEY Y MOCIÓN,"Un proceso ante un juez en el cual una variedad de mociones, alegatos, sentencias, y órdenes para mostrar causa o pedidos procesales que se pueden presentar. Normalmente, no se acepta evidencia. Los acusados deben estar presentes.",
